,Unnamed: 0,coin,time,all,avgall,avg15,1,2,3,4,5,price,profit,loss,answer
0,0,MULTIUSDT,Sat Apr 23 13:06:22 2022,0.2504278901820562,0.9300898656491732,1.60975184111629,2.044701720500264,1.4923815546322186,1.476508042357105,1.507437028623475,1.5277308594683858,11.54,12.117,10.963,
1,1,BIFIUSDT,Sat Apr 23 13:06:29 2022,0.1396237399855773,0.765755227437752,1.3918867148899268,0.5788066387553624,1.5876241801609414,1.6293491304816552,1.591581427348997,1.572072197702678,1453.75,1526.4375,1381.0625,False
2,2,STEEMUSDT,Sat Apr 23 13:06:36 2022,0.3854751915111681,1.1340992967453825,1.8827234019795969,2.428976357264592,2.019139827572464,1.7723441549030672,1.632042256568492,1.561114413589367,0.46755,0.4909275,0.4441725,True
3,3,KDAUSDT,Sat Apr 23 13:14:52 2022,1.0095056902376631,1.3354328749838789,1.6613600597300944,0.9787038490929806,1.9231056655020216,1.838680663886818,1.806341384543579,1.7599687356250728,5.0785,5.332425000000001,4.824574999999999,False
4,4,ASTRUSDT,Sat Apr 23 13:22:51 2022,0.6359382573859242,1.198902740389562,1.7618672233932,1.4966677177749843,1.974771425810829,1.7972568102962134,1.7691787813805673,1.7714613817034055,0.1931,0.202755,0.183445,False
5,5,NBTUSDT,Sat Apr 23 13:23:03 2022,0.0567730969459187,1.1354669360467806,2.214160775147642,2.2139847297997477,2.1919504704043686,1.7131809810244136,2.524096817383695,2.42759087712599,0.01457,0.0152985,0.0138415,
6,6,ALPINEUSDT,Sat Apr 23 13:30:59 2022,0.8524680775204774,0.893802799231522,0.9351375209425664,0.8181749926997268,1.018073845250508,1.016046021115374,0.937180650983778,0.8862120946634461,6.0439,6.346095,5.741705,True
7,7,TUSDT,Sat Apr 23 13:31:08 2022,0.2582155588841616,1.1917950618153543,2.125374564746547,2.1125630345435344,2.168363530794526,2.130255054492249,2.10564907193636,2.1100421319660683,0.1071,0.112455,0.101745,True
8,8,WOOUSDT,Sat Apr 23 13:31:15 2022,1.400120903234278,1.5091696232161804,1.6182183431980828,1.5996247032438635,1.6518556591334523,1.6142278556021104,1.616350710645226,1.6090327873657615,0.45415,0.4768575,0.4314424999999999,False
9,9,ACAUSDT,Sat Apr 23 13:39:24 2022,0.4448099308263287,0.7062382744014455,0.9676666179765622,1.002371227436868,0.9445007462656808,0.9378933195129928,0.959635832560748,0.9939319641065206,1.3665,1.434825,1.298175,False
10,10,ANCUSDT,Sat Apr 23 13:39:24 2022,0.6536187288016942,0.9116560068894974,1.1696932849773003,1.1589352008403178,1.1600904629711672,1.1587803294493688,1.1855237015134128,1.1851367301122369,1.9635,2.061675,1.865325,False
11,11,XNOUSDT,Sat Apr 23 13:39:43 2022,0.965790869071912,1.4063792690941637,1.8469676691164156,1.9423323110117872,1.9115946964677215,1.9185944135021085,1.7283802985605552,1.733936626039905,2.0455,2.147775,1.943225,
12,12,BTTCUSDT,Sat Apr 23 13:47:44 2022,0.1770490065756812,2.832230477377521,5.487411948179361,5.618657826795062,5.550572134107419,5.434948271839355,5.428881272835756,5.4040002353192085,1.855e-06,1.94775e-06,1.76225e-06,
13,13,API3USDT,Sat Apr 23 13:47:51 2022,0.9155454740728683,0.9824676951301314,1.0493899161873943,1.0872624266766364,1.037696307932658,1.0478749520305068,1.039640227908817,1.0344756663883543,4.4595,4.682475,4.236525,False
14,14,SCRTUSDT,Sat Apr 23 13:47:51 2022,0.8187946809312814,0.8055527927244632,0.792310904517645,0.8471552648361408,0.7742360923136621,0.7757558021174238,0.7798678792730179,0.7845394840479801,4.599,4.828950000000001,4.36905,False
15,15,IMXUSDT,Sat Apr 23 13:55:38 2022,1.7486234215037957,1.6663027833896589,1.5839821452755225,1.5915795874081085,1.635828956455703,1.5889826232872528,1.5517145791266391,1.551804980099908,1.8505,1.943025,1.7579749999999998,False
16,16,USTUSDT,Sat Apr 23 14:03:20 2022,1.632639548722821,1.1791207700604385,0.7256019913980556,0.7240697921971452,0.7259864529300885,0.7259919424705431,0.7259807630341842,0.7259810063583166,1.00185,1.0519425000000002,0.9517575,
17,17,JOEUSDT,Sat Apr 23 14:03:55 2022,0.6762409991208613,0.9173733539840552,1.158505708847249,1.093449110033906,1.2250433769127849,1.1697222335085284,1.1432197484741144,1.1610940753069117,1.0745,1.128225,1.020775,False
18,18,ACHUSDT,Sat Apr 23 14:03:55 2022,1.376358270051108,2.354079778631907,3.3318012872127065,3.575898976928992,3.376549540309214,3.2841474877189416,3.218970615460204,3.203439815646181,0.03215,0.0337575,0.0305424999999999,False
19,19,PEOPLEUSDT,Sat Apr 23 14:11:50 2022,0.2461415124808155,0.6989456690646119,1.1517498256484082,1.1684208733342798,1.1645335653540672,1.1442333324705356,1.143565896584817,1.1379954604983415,0.04945,0.0519225,0.0469775,False
20,20,SPELLUSDT,Sat Apr 23 14:12:08 2022,0.1736583336355518,0.6221859465246697,1.0707135594137878,0.8300017117254956,1.104365712769651,1.1356732498177788,1.148043286711359,1.1354838360446544,0.004115,0.00432075,0.00390925,False
21,21,OOKIUSDT,Sat Apr 23 14:12:32 2022,0.2873163119496579,0.8082730025420265,1.329229693134395,1.517249059512346,1.4416833739298385,1.2573794623332968,1.2287436843419817,1.2010928855545129,0.01301,0.0136605,0.0123595,False
22,22,CVXUSDT,Sat Apr 23 14:20:42 2022,1.444872815170691,1.2060151848908158,0.9671575546109404,0.8123932856917542,0.9834792622624844,0.9936230848603668,1.0208552446460608,1.0254368955940365,25.9,27.195,24.605,False
